,Equation Number,eqn,soln,metrics
0,145,"((1 / x) + (-2)) = (-3)
","((1 / x) + (-2)) = (-3)
|(((1 / x) + (-2)) - (-2)) = ((-3) - (-2))|((1 / x) + ((-2) - (-2))) = ((-3) - (-2))|((1 / x) + 0) = ((-3) - (-2))|(((1 / x) + 0) * x) = (((-3) - (-2)) * x)|(x * ((1 / x) + 0)) = (((-3) - (-2)) * x)|(x * (1 / x)) = (((-3) - (-2)) * x)|((x * 1) / x) = (((-3) - (-2)) * x)|(x / x) = (((-3) - (-2)) * x)|1 = (((-3) - (-2)) * x)|(((-3) - (-2)) * x) = 1|-1x = 1|(-1x * (-1)) = (1 * (-1))|((x * (-1)) * (-1)) = (1 * (-1))|(x * ((-1) * (-1))) = (1 * (-1))|(x * 1) = (1 * (-1))|x = (1 * (-1))|x = (-1)",38
1,169,"((-1) - 2) = -3x
","((-1) - 2) = -3x
|-3x = ((-1) - 2)|(x * (-3)) = ((-1) - 2)|((x * (-3)) / (-3)) = (((-1) - 2) / (-3))|(x * ((-3) / (-3))) = (((-1) - 2) / (-3))|(x * 1) = (((-1) - 2) / (-3))|x = (((-1) - 2) / (-3))|x = ((-3) / (-3))|x = 1",16
2,73,"(-1x + (-2)) = ((-3) + 4x)
","(-1x + (-2)) = ((-3) + 4x)
|((-1x + (-2)) - (-2)) = (((-3) + 4x) - (-2))|(-1x + ((-2) - (-2))) = (((-3) + 4x) - (-2))|(-1x + 0) = (((-3) + 4x) - (-2))|((-1x + 0) - 4x) = ((((-3) + 4x) - (-2)) - 4x)|((-1x + 0) - 4x) = (((4x + (-3)) - (-2)) - 4x)|((-1x + 0) - 4x) = ((4x + ((-3) - (-2))) - 4x)|((-1x + 0) - 4x) = ((((-3) - (-2)) + 4x) - 4x)|((-1x + 0) - 4x) = (((-3) - (-2)) + (4x - 4x))|((-1x + 0) - 4x) = (((-3) - (-2)) + 0)|(-1x - 4x) = (((-3) - (-2)) + 0)|(((-1) - 4) * x) = (((-3) - (-2)) + 0)|-5x = (((-3) - (-2)) + 0)|(x * (-5)) = (((-3) - (-2)) + 0)|((x * (-5)) / (-5)) = ((((-3) - (-2)) + 0) / (-5))|(x * ((-5) / (-5))) = ((((-3) - (-2)) + 0) / (-5))|(x * 1) = ((((-3) - (-2)) + 0) / (-5))|x = ((((-3) - (-2)) + 0) / (-5))|x = (((-1) + 0) / (-5))|x = ((-1) / (-5))|x = [1/5]",38
3,115,"((-1) + 2x) = (-3)
","((-1) + 2x) = (-3)
|(((-1) + 2x) - (-1)) = ((-3) - (-1))|((2x + (-1)) - (-1)) = ((-3) - (-1))|(2x + ((-1) - (-1))) = ((-3) - (-1))|(2x + 0) = ((-3) - (-1))|2x = ((-3) - (-1))|(2x / 2) = (((-3) - (-1)) / 2)|((x * 2) / 2) = (((-3) - (-1)) / 2)|(x * (2 / 2)) = (((-3) - (-1)) / 2)|(x * 1) = (((-3) - (-1)) / 2)|x = (((-3) - (-1)) / 2)|x = ((-2) / 2)|x = (-1)",22
4,115,"((-1) + 2x) = (-3)
","((-1) + 2x) = (-3)
|(((-1) + 2x) - (-1)) = ((-3) - (-1))|((2x + (-1)) - (-1)) = ((-3) - (-1))|(2x + ((-1) - (-1))) = ((-3) - (-1))|(2x + 0) = ((-3) - (-1))|2x = ((-3) - (-1))|(2x / 2) = (((-3) - (-1)) / 2)|((x * 2) / 2) = (((-3) - (-1)) / 2)|(x * (2 / 2)) = (((-3) - (-1)) / 2)|(x * 1) = (((-3) - (-1)) / 2)|x = (((-3) - (-1)) / 2)|x = ((-2) / 2)|x = (-1)",22
5,187,"1x = (2 - 3)
","1x = (2 - 3)
|1x = (-1)|x = (-1)",4
6,187,"1x = (2 - 3)
","1x = (2 - 3)
|1x = (-1)|x = (-1)",4
7,72,"((-1) + 2x) = 3
","((-1) + 2x) = 3
|(((-1) + 2x) - (-1)) = (3 - (-1))|((2x + (-1)) - (-1)) = (3 - (-1))|(2x + ((-1) - (-1))) = (3 - (-1))|(2x + 0) = (3 - (-1))|2x = (3 - (-1))|(2x / 2) = ((3 - (-1)) / 2)|((x * 2) / 2) = ((3 - (-1)) / 2)|(x * (2 / 2)) = ((3 - (-1)) / 2)|(x * 1) = ((3 - (-1)) / 2)|x = ((3 - (-1)) / 2)|x = (4 / 2)|x = 2",22
8,141,"(((-1) - 2x) + 3) = -4x
","(((-1) - 2x) + 3) = -4x
|(3 + ((-1) - 2x)) = -4x|((3 + (-1)) - 2x) = -4x|-4x = ((3 + (-1)) - 2x)|-4x = ((3 + (-1)) + -2x)|(-4x - -2x) = (((3 + (-1)) + -2x) - -2x)|(((-4) - (-2)) * x) = (((3 + (-1)) + -2x) - -2x)|(((-4) - (-2)) * x) = ((3 + (-1)) + (-2x - -2x))|(((-4) - (-2)) * x) = ((3 + (-1)) + 0)|-2x = ((3 + (-1)) + 0)|(x * (-2)) = ((3 + (-1)) + 0)|((x * (-2)) / (-2)) = (((3 + (-1)) + 0) / (-2))|(x * ((-2) / (-2))) = (((3 + (-1)) + 0) / (-2))|(x * 1) = (((3 + (-1)) + 0) / (-2))|x = (((3 + (-1)) + 0) / (-2))|x = ((2 + 0) / (-2))|x = (2 / (-2))|x = (-1)",36
9,212,"(-1x + (-2)) = (3 + 4x)
","(-1x + (-2)) = (3 + 4x)
|((-1x + (-2)) - 4x) = ((3 + 4x) - 4x)|(((-1x + (-2)) - 4x) - (-2)) = (((3 + 4x) - 4x) - (-2))|(((-1x + (-2)) - (-2)) - 4x) = (((3 + 4x) - 4x) - (-2))|((-1x + ((-2) - (-2))) - 4x) = (((3 + 4x) - 4x) - (-2))|((-1x + 0) - 4x) = (((3 + 4x) - 4x) - (-2))|((-1x + 0) - 4x) = ((3 + (4x - 4x)) - (-2))|((-1x + 0) - 4x) = ((3 + 0) - (-2))|(-1x - 4x) = ((3 + 0) - (-2))|(-1x - 4x) = (3 - (-2))|(((-1) - 4) * x) = (3 - (-2))|-5x = (3 - (-2))|(x * (-5)) = (3 - (-2))|(x * (-5)) = 5|((x * (-5)) / (-5)) = (5 / (-5))|(x * ((-5) / (-5))) = (5 / (-5))|(x * 1) = (5 / (-5))|x = (5 / (-5))|x = (-1)",35
