,Equation Number,eqn,soln,metrics
0,150,"((1 + 2x) - 3) = 4x
","((1 + 2x) - 3) = 4x
|4x = ((1 + 2x) - 3)|4x = ((2x + 1) - 3)|4x = (2x + (1 - 3))|2x = ((1 - 3) + 0)|2x = (-2)|x = (-1)",13
1,174,"(1 - 2) = -3x
","(1 - 2) = -3x
|-3x = (1 - 2)|-3x = (-1)|x = [1/3]",7
2,74,"(-1x + 2) = ((-3) + 4x)
","(-1x + 2) = ((-3) + 4x)
|(-1x + 2) = (4x + (-3))|((-1x + 2) - 2) = ((4x + (-3)) - 2)|-1x = ((4x + (-3)) - 2)|-1x = (4x + ((-3) - 2))|-5x = (((-3) - 2) + 0)|-5x = (-5)|x = 1",15
3,189,"(-1) = (-2x + (-3))
","(-1) = (-2x + (-3))
|(-2x + (-3)) = (-1)|-2x = 2|x = (-1)",6
4,119,"(-1x + 2) = 3x
","(-1x + 2) = 3x
|3x = (-1x + 2)|4x = (2 + 0)|4x = 2|x = [1/2]",8
5,192,"((1x + 2) + 3x) = 4
","((1x + 2) + 3x) = 4
|((3x + (1x + 2)) - 2) = 2|(((3x + 1x) + 2) - 2) = 2|(3x + 1x) = 2|((3 + 1) * x) = 2|4x = 2|x = [1/2]",16
6,73,"(-1x + (-2)) = ((-3) + 4x)
","(-1x + (-2)) = ((-3) + 4x)
|((-1x + (-2)) - (-2)) = (((-3) + 4x) - (-2))|-1x = (((-3) + 4x) - (-2))|-1x = ((4x + (-3)) - (-2))|-1x = (4x + ((-3) - (-2)))|-5x = (((-3) - (-2)) + 0)|-5x = (-1)|x = [1/5]",16
7,204,"(1x + (-2)) = (3 + 4x)
","(1x + (-2)) = (3 + 4x)
|(1x + (-2)) = (4x + 3)|((1x + (-2)) - (-2)) = ((4x + 3) - (-2))|1x = ((4x + 3) - (-2))|1x = (4x + (3 - (-2)))|-3x = ((3 - (-2)) + 0)|-3x = 5|x = ([-5/3])",16
8,147,"((-1) - 2x) = -3x
","((-1) - 2x) = -3x
|-3x = ((-1) - 2x)|-3x = ((-1) + -2x)|-3x = (-2x + (-1))|-1x = ((-1) + 0)|-1x = (-1)|x = 1",9
9,213,"(-1) = ((2x - 3) + 4x)
","(-1) = ((2x - 3) + 4x)
|((-1) + 3) = (((2x - 3) + 4x) + 3)|(((-1) + 3) - 3) = ((((2x - 3) + 4x) + 3) - 3)|(((-1) + 3) - 3) = ((((2x + (-3)) + 4x) + 3) - 3)|(((-1) + 3) - 3) = (((4x + (2x + (-3))) + 3) - 3)|(((-1) + 3) - 3) = ((((4x + 2x) + (-3)) + 3) - 3)|(((-1) + 3) - 3) = (((((4 + 2) * x) + (-3)) + 3) - 3)|(((-1) + 3) - 3) = (((6x + (-3)) + 3) - 3)|(((-1) + 3) - 3) = ((6x + ((-3) + 3)) - 3)|(((-1) + 3) - 3) = ((6x + 0) - 3)|((6x + 0) - 3) = (((-1) + 3) - 3)|((6x + 0) - 3) = (-1)|(6x + 0) = 2|6x = 2|x = [1/3]",30
10,200,"(1 + 2x) = (-3x + (-4))
","(1 + 2x) = (-3x + (-4))
|(2x + 1) = (-3x + (-4))|((2x + 1) - 1) = ((-3x + (-4)) - 1)|2x = ((-3x + (-4)) - 1)|2x = (-3x + ((-4) - 1))|5x = (((-4) - 1) + 0)|5x = (-5)|x = (-1)",15
11,255,"((-1) / (-2)) = x
","((-1) / (-2)) = x
|x = ((-1) / (-2))|x = [1/2]",4
12,178,"(-1x + (-2)) = (3x + 4)
","(-1x + (-2)) = (3x + 4)
|((-1x + (-2)) - (-2)) = ((3x + 4) - (-2))|-1x = ((3x + 4) - (-2))|-1x = (3x + (4 - (-2)))|-4x = ((4 - (-2)) + 0)|-4x = 6|x = ([-3/2])",15
13,19,"(-1) = (2 + 3x)
","(-1) = (2 + 3x)
|(-1) = (3x + 2)|(3x + 2) = (-1)|3x = (-3)|x = (-1)",7
14,247,"(-1x - 2x) = ((-3) + 4)
","(-1x - 2x) = ((-3) + 4)
|(((-1) - 2) * x) = ((-3) + 4)|-3x = ((-3) + 4)|-3x = 1|x = ([-1/3])",11
15,123,"(-1) = ((-2) + 3x)
","(-1) = ((-2) + 3x)
|(-1) = (3x + (-2))|(3x + (-2)) = (-1)|3x = 1|x = [1/3]",8
16,13,"((x - 1) - 2x) = 3x
","((x - 1) - 2x) = 3x
|3x = ((x - 1) - 2x)|3x = ((x - 2x) - 1)|3x = ((x + -2x) - 1)|3x = ((x + -2x) + (-1))|3x = ((-2x + x) + (-1))|3x = (-2x + (x + (-1)))|5x = ((x + (-1)) + 0)|(5x * (-1)) = (((x + (-1)) + 0) * (-1))|((-1) * 5x) = (((x + (-1)) + 0) * (-1))|(((-1) * 5) * x) = (((x + (-1)) + 0) * (-1))|(((-1) * 5) * x) = ((x + ((-1) + 0)) * (-1))|(((-1) * 5) * x) = ((x * (-1)) + (((-1) + 0) * (-1)))|(((-1) * 5) * x) = (-1x + (((-1) + 0) * (-1)))|-5x = (-1x + (((-1) + 0) * (-1)))|-5x = (-1x + 1)|-4x = (1 + 0)|-4x = 1|x = ([-1/4])",32
17,265,"(1x - 2) = (-3)
","(1x - 2) = (-3)
|1x = (-1)|x = (-1)",4
18,126,"(1x + 2) = (-3x + (-4))
","(1x + 2) = (-3x + (-4))
|((1x + 2) - 2) = ((-3x + (-4)) - 2)|1x = ((-3x + (-4)) - 2)|1x = (-3x + ((-4) - 2))|4x = (((-4) - 2) + 0)|4x = (-6)|x = ([-3/2])",15
19,273,"x = ((-1) / 2)
","x = ((-1) / 2)
|x = ([-1/2])",2
20,115,"((-1) + 2x) = (-3)
","((-1) + 2x) = (-3)
|2x = (-2)|x = (-1)",4
21,151,"((-1) + -2x) = (3x + (-4))
","((-1) + -2x) = (3x + (-4))
|(-2x + (-1)) = (3x + (-4))|((-2x + (-1)) - (-1)) = ((3x + (-4)) - (-1))|-2x = ((3x + (-4)) - (-1))|-2x = (3x + ((-4) - (-1)))|-5x = (((-4) - (-1)) + 0)|-5x = (-3)|x = [3/5]",16
22,222,"((-1) - 2x) = (-3x - 4)
","((-1) - 2x) = (-3x - 4)
|((-1) + -2x) = (-3x - 4)|(-2x + (-1)) = (-3x - 4)|((-2x + (-1)) - (-1)) = ((-3x - 4) - (-1))|-2x = ((-3x - 4) - (-1))|-2x = ((-3x + (-4)) - (-1))|-2x = (-3x + ((-4) - (-1)))|1x = (((-4) - (-1)) + 0)|1x = (-3)|x = (-3)",17
23,122,"-1x = (((-2) + 3x) + 4)
","-1x = (((-2) + 3x) + 4)
|-1x = ((3x + (-2)) + 4)|-1x = (3x + ((-2) + 4))|-4x = (((-2) + 4) + 0)|-4x = 2|x = ([-1/2])",10
24,241,"(1 + 2x) = ((-3) + -4x)
","(1 + 2x) = ((-3) + -4x)
|(2x + 1) = ((-3) + -4x)|((2x + 1) - 1) = (((-3) + -4x) - 1)|((2x + 1) - 1) = ((-4x + (-3)) - 1)|2x = ((-4x + (-3)) - 1)|2x = (-4x + ((-3) - 1))|6x = (((-3) - 1) + 0)|6x = (-4)|x = ([-2/3])",17
25,249,"(1 + -2x) = (3 + -4x)
","(1 + -2x) = (3 + -4x)
|(1 + -2x) = (-4x + 3)|(-2x + 1) = (-4x + 3)|((-2x + 1) - 1) = ((-4x + 3) - 1)|-2x = ((-4x + 3) - 1)|-2x = (-4x + (3 - 1))|2x = ((3 - 1) + 0)|2x = 2|x = 1",16
26,159,"-1x = (2x - 3)
","-1x = (2x - 3)
|-1x = (2x + (-3))|-3x = ((-3) + 0)|-3x = (-3)|x = 1",6
27,267,"(((-1) - 2x) - 3) = 4x
","(((-1) - 2x) - 3) = 4x
|4x = (((-1) - 2x) - 3)|4x = (((-1) + -2x) - 3)|4x = ((-2x + (-1)) - 3)|4x = (-2x + ((-1) - 3))|6x = (((-1) - 3) + 0)|6x = (-4)|x = ([-2/3])",15
28,48,"(-1x + 2) = (3x + (-4))
","(-1x + 2) = (3x + (-4))
|((-1x + 2) - 2) = ((3x + (-4)) - 2)|-1x = ((3x + (-4)) - 2)|-1x = (3x + ((-4) - 2))|-4x = (((-4) - 2) + 0)|-4x = (-6)|x = [3/2]",15
29,92,"(-1x + 2) = (3x + 4)
","(-1x + 2) = (3x + 4)
|((-1x + 2) - 2) = ((3x + 4) - 2)|-1x = ((3x + 4) - 2)|-1x = (3x + (4 - 2))|-4x = ((4 - 2) + 0)|-4x = 2|x = ([-1/2])",15
30,111,"-1x = (2 + 3)
","-1x = (2 + 3)
|-1x = 5|x = (-5)",4
31,11,"((-1x - 2) + 3x) = (4x + 5x)
","((-1x - 2) + 3x) = (4x + 5x)
|(4x + 5x) = ((-1x - 2) + 3x)|(4x + 5x) = (3x + (-1x - 2))|(4x + 5x) = ((3x + -1x) - 2)|((4 + 5) * x) = ((3x + -1x) - 2)|9x = ((3x + -1x) - 2)|9x = ((3x + -1x) + (-2))|9x = (((3 + (-1)) * x) + (-2))|9x = (2x + (-2))|7x = ((-2) + 0)|7x = (-2)|x = ([-2/7])",25
32,28,"(-1x + 2x) = (-3)
","(-1x + 2x) = (-3)
|(((-1) + 2) * x) = (-3)|1x = (-3)|x = (-3)",8
33,12,"(1x + (-2)) = ((-3) + 4x)
","(1x + (-2)) = ((-3) + 4x)
|((1x + (-2)) - (-2)) = (((-3) + 4x) - (-2))|1x = (((-3) + 4x) - (-2))|1x = ((4x + (-3)) - (-2))|1x = (4x + ((-3) - (-2)))|-3x = (((-3) - (-2)) + 0)|-3x = (-1)|x = [1/3]",16
34,271,"x = ((-1) / (-2))
","x = ((-1) / (-2))
|x = [1/2]",2
35,248,"((-1x + 2) + 3) = -4x
","((-1x + 2) + 3) = -4x
|-4x = ((-1x + 2) + 3)|-4x = (-1x + (2 + 3))|-3x = ((2 + 3) + 0)|-3x = 5|x = ([-5/3])",13
