,output,equation_number,rec_soln
0,HIT te2 w/ (lambda (#(lambda (mathDomain_simplify (mathDomain_dist $0 mathDomain_1) mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) $0))))))) ; log prior = -12.946103 ; log likelihood = 0.000000,2,(lambda (#(lambda (_simplify (_dist $0 1) 0)) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (_simplify (_swap $0 0) 0)) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) $0)))))))
1,HIT te19 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (mathDomain_swap (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) $0)))) mathDomain_2))) ; log prior = -13.870956 ; log likelihood = 0.000000,19,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (_swap (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) $0)))) 2)))
2,HIT te21 w/ (lambda (mathDomain_swap $0 mathDomain_0)) ; log prior = -3.047414 ; log likelihood = 0.000000,21,(lambda (_swap $0 0))
3,HIT te28 w/ (lambda (#(lambda (mathDomain_simplify (mathDomain_dist $0 mathDomain_1) mathDomain_0)) $0)) ; log prior = -2.674506 ; log likelihood = 0.000000,28,(lambda (#(lambda (_simplify (_dist $0 1) 0)) $0))
4,HIT te33 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (mathDomain_div (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) $0)) mathDomain_2)))) ; log prior = -16.206091 ; log likelihood = 0.000000,33,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (_div (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) $0)) 2))))
5,HIT te37 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (mathDomain_swap $0 mathDomain_0)))))) ; log prior = -11.977258 ; log likelihood = 0.000000,37,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (_swap $0 0))))))
6,HIT te39 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (mathDomain_rrotate $0 mathDomain_2)))))) ; log prior = -15.623298 ; log likelihood = 0.000000,39,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_swap $0 0) 0)) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (_rrotate $0 2))))))
7,HIT te40 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (mathDomain_swap (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) $0) mathDomain_1))))) ; log prior = -15.479910 ; log likelihood = 0.000000,40,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (_swap (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) $0) 1)))))
8,HIT te41 w/ (lambda (#(lambda (mathDomain_simplify (mathDomain_dist $0 mathDomain_1) mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) $0))))))) ; log prior = -15.342047 ; log likelihood = 0.000000,41,(lambda (#(lambda (_simplify (_dist $0 1) 0)) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (_simplify (_swap $0 0) 0)) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) $0)))))))
9,HIT te43 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_1)))))) ; log prior = -13.345533 ; log likelihood = 0.000000,43,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (_swap $0 1))))))
