,output,equation_number,eqn,soln
0,HIT te0 w/ (lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)) ; log prior = -3.790670 ; log likelihood = 0.000000,0,(= (/ (1) (2)) (x)),(lambda (#(lambda (_swap $0 0)) $0))
1,HIT te1 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) ; log prior = -5.894162 ; log likelihood = 0.000000,1,(= (* (/ (-1) (x)) (x)) (* (-2) (x))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0)))
2,HIT te9 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) ; log prior = -5.941800 ; log likelihood = 0.000000,9,(= (/ (* (-1) (x)) (x)) (* (-2) (x))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0)))
3,HIT te19 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_div (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0) mathDomain_3))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) $0))) $0)) ; log prior = -4.171190 ; log likelihood = 0.000000,19,(= (-1) (+ (2) (* (3) (x)))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_div (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0) 3))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (_swap $0 2)) $0))) $0))
4,HIT te21 w/ (lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)) ; log prior = -3.774479 ; log likelihood = 0.000000,21,(= (/ (-1) (2)) (x)),(lambda (#(lambda (_swap $0 0)) $0))
5,HIT te22 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) $0)) ; log prior = -3.537202 ; log likelihood = 0.000000,22,(= (/ (-1) (x)) (-2)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) $0))
6,HIT te27 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) $0)) ; log prior = -4.304110 ; log likelihood = 0.000000,27,(= (+ (-1) (/ (2) (x))) (3)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (_swap $0 2)) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) $0))
7,HIT te28 w/ (lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0)) ; log prior = -3.993952 ; log likelihood = 0.000000,28,(= (+ (* (-1) (x)) (* (2) (x))) (-3)),(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))
8,HIT te29 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) $0))) $0)) ; log prior = -4.884776 ; log likelihood = 0.000000,29,(= (- (1) (-2)) (- (+ (/ (3) (x)) (-4)) (-5))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (_swap $0 2)) $0))) $0))
9,HIT te30 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) $0)) ; log prior = -3.503250 ; log likelihood = 0.000000,30,(= (/ (1) (x)) (2)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) $0))
10,HIT te33 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_div (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0) mathDomain_3))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) $0))) $0)) ; log prior = -4.218650 ; log likelihood = 0.000000,33,(= (1) (+ (-2) (* (-3) (x)))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_div (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0) 3))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (_swap $0 2)) $0))) $0))
